Curve_Num,DAC1_Val,DAC2_Val,ADS1115_mV
1,70,0,254
1,70,1,344
1,70,2,446
1,70,3,573
1,70,4,699
1,70,5,837
1,70,6,962
1,70,7,1077
1,70,8,1154
1,70,9,1230
1,70,10,1287
1,70,11,1328
1,70,12,1361
1,70,13,1386
1,70,14,1409
1,70,15,1427
1,70,16,1445
1,70,17,1460
1,70,18,1476
1,70,19,1488
1,70,20,1503
1,70,21,1514
1,70,22,1527
1,70,23,1542
1,70,24,1544
1,70,25,1562
1,70,26,1578
1,70,27,1590
1,70,28,1601
1,70,29,1613
1,70,30,1626
1,70,31,1641
1,70,32,1652
1,70,33,1664
1,70,34,1677
1,70,35,1692
1,70,36,1703
1,70,37,1715
1,70,38,1728
1,70,39,1740
1,70,40,1749
1,70,41,1764
1,70,42,1776
1,70,43,1787
1,70,44,1800
1,70,45,1812
1,70,46,1824
1,70,47,1835
1,70,48,1848
1,70,49,1860
1,70,50,1871
1,70,51,1886
1,70,52,1896
1,70,53,1911
1,70,54,1922
1,70,55,1935
1,70,56,1947
1,70,57,1958
1,70,58,1971
1,70,59,1983
1,70,60,1995
1,70,61,2006
1,70,62,2019
1,70,63,2033
1,70,64,2033
1,70,65,2046
1,70,66,2058
1,70,67,2069
1,70,68,2082
1,70,69,2094
1,70,70,2105
1,70,71,2121
1,70,72,2130
1,70,73,2144
1,70,74,2157
1,70,75,2168
1,70,76,2180
1,70,77,2193
1,70,78,2204
1,70,79,2217
1,70,80,2229
2,75,0,282
2,75,1,381
2,75,2,500
2,75,3,651
2,75,4,795
2,75,5,960
2,75,6,1103
2,75,7,1236
2,75,8,1328
2,75,9,1412
2,75,10,1478
2,75,11,1527
2,75,12,1562
2,75,13,1593
2,75,14,1616
2,75,15,1638
2,75,16,1652
2,75,17,1671
2,75,18,1685
2,75,19,1698
2,75,20,1713
2,75,21,1728
2,75,22,1740
2,75,23,1751
2,75,24,1764
2,75,25,1776
2,75,26,1787
2,75,27,1802
2,75,28,1815
2,75,29,1827
2,75,30,1838
2,75,31,1851
2,75,32,1866
2,75,33,1878
2,75,34,1889
2,75,35,1902
2,75,36,1914
2,75,37,1925
2,75,38,1937
2,75,39,1953
2,75,40,1965
2,75,41,1976
2,75,42,1986
2,75,43,2000
2,75,44,2013
2,75,45,2025
2,75,46,2036
2,75,47,2049
2,75,48,2061
2,75,49,2072
2,75,50,2085
2,75,51,2099
2,75,52,2111
2,75,53,2124
2,75,54,2138
2,75,55,2151
2,75,56,2160
2,75,57,2171
2,75,58,2184
2,75,59,2190
2,75,60,2210
2,75,61,2220
2,75,62,2235
2,75,63,2243
2,75,64,2246
2,75,65,2259
2,75,66,2270
2,75,67,2286
2,75,68,2298
2,75,69,2309
2,75,70,2322
2,75,71,2334
2,75,72,2345
2,75,73,2355
2,75,74,2370
2,75,75,2381
2,75,76,2394
2,75,77,2406
2,75,78,2417
2,75,79,2430
2,75,80,2441
3,80,0,312
3,80,1,423
3,80,2,558
3,80,3,722
3,80,4,891
3,80,5,1070
3,80,6,1238
3,80,7,1389
3,80,8,1493
3,80,9,1593
3,80,10,1664
3,80,11,1722
3,80,12,1761
3,80,13,1794
3,80,14,1817
3,80,15,1838
3,80,16,1856
3,80,17,1875
3,80,18,1893
3,80,19,1907
3,80,20,1920
3,80,21,1932
3,80,22,1947
3,80,23,1958
3,80,24,1971
3,80,25,1983
3,80,26,1995
3,80,27,2009
3,80,28,2022
3,80,29,2028
3,80,30,2046
3,80,31,2058
3,80,32,2072
3,80,33,2085
3,80,34,2099
3,80,35,2111
3,80,36,2124
3,80,37,2135
3,80,38,2148
3,80,39,2160
3,80,40,2171
3,80,41,2184
3,80,42,2196
3,80,43,2207
3,80,44,2220
3,80,45,2235
3,80,46,2246
3,80,47,2259
3,80,48,2270
3,80,49,2282
3,80,50,2295
3,80,51,2306
3,80,52,2319
3,80,53,2334
3,80,54,2345
3,80,55,2358
3,80,56,2370
3,80,57,2381
3,80,58,2394
3,80,59,2406
3,80,60,2417
3,80,61,2430
3,80,62,2441
3,80,63,2453
3,80,64,2457
3,80,65,2469
3,80,66,2480
3,80,67,2493
3,80,68,2505
3,80,69,2519
3,80,70,2532
3,80,71,2543
3,80,72,2552
3,80,73,2565
3,80,74,2577
3,80,75,2588
3,80,76,2604
3,80,77,2615
3,80,78,2628
3,80,79,2640
3,80,80,2651
4,85,0,335
4,85,1,462
4,85,2,611
4,85,3,797
4,85,4,984
4,85,5,1190
4,85,6,1373
4,85,7,1544
4,85,8,1659
4,85,9,1769
4,85,10,1853
4,85,11,1917
4,85,12,1958
4,85,13,1995
4,85,14,2025
4,85,15,2049
4,85,16,2066
4,85,17,2085
4,85,18,2099
4,85,19,2115
4,85,20,2130
4,85,21,2144
4,85,22,2157
4,85,23,2168
4,85,24,2184
4,85,25,2196
4,85,26,2207
4,85,27,2220
4,85,28,2232
4,85,29,2243
4,85,30,2256
4,85,31,2270
4,85,32,2286
4,85,33,2298
4,85,34,2309
4,85,35,2322
4,85,36,2334
4,85,37,2348
4,85,38,2361
4,85,39,2370
4,85,40,2384
4,85,41,2397
4,85,42,2408
4,85,43,2421
4,85,44,2433
4,85,45,2444
4,85,46,2457
4,85,47,2469
4,85,48,2483
4,85,49,2496
4,85,50,2508
4,85,51,2523
4,85,52,2532
4,85,53,2543
4,85,54,2559
4,85,55,2571
4,85,56,2579
4,85,57,2595
4,85,58,2607
4,85,59,2618
