Curve_Num,DAC1_Val,DAC2_Val,ADS1115_mV
1,89,0,527
1,89,1,549
1,89,2,573
1,89,3,593
1,89,4,602
1,89,5,624
1,89,6,642
1,89,7,648
1,89,8,666
1,89,9,678
1,89,10,686
1,89,11,708
1,89,12,713
1,89,13,726
1,89,14,744
1,89,15,753
1,89,16,764
1,89,17,782
1,89,18,789
1,89,19,800
1,89,20,819
1,89,21,824
1,89,22,840
1,89,23,855
1,89,24,861
1,89,25,875
1,89,26,888
1,89,27,897
1,89,28,912
1,89,29,926
1,89,30,933
1,89,31,951
1,89,32,962
1,89,33,972
1,89,34,990
1,89,35,999
1,89,36,1008
1,89,37,1026
1,89,38,1034
1,89,39,1047
1,89,40,1065
1,89,41,1067
1,89,42,1083
1,89,43,1088
1,89,44,1103
1,89,45,1118
1,89,46,1134
1,89,47,1139
1,89,48,1157
1,89,49,1169
1,89,50,1175
1,89,51,1194
1,89,52,1203
1,89,53,1215
1,89,54,1230
1,89,55,1238
1,89,56,1248
1,89,57,1269
1,89,58,1274
1,89,59,1287
1,89,60,1305
1,89,61,1310
1,89,62,1325
1,89,63,1340
1,89,64,1335
1,89,65,1353
1,89,66,1365
1,89,67,1371
1,89,68,1389
1,89,69,1404
1,89,70,1407
1,89,71,1427
1,89,72,1437
1,89,73,1442
1,89,74,1463
1,89,75,1470
1,89,76,1481
1,89,77,1500
1,89,78,1506
1,89,79,1518
1,89,80,1536
2,91,0,704
2,91,1,735
2,91,2,755
2,91,3,789
2,91,4,800
2,91,5,819
2,91,6,842
2,91,7,851
2,91,8,864
2,91,9,888
2,91,10,891
2,91,11,908
2,91,12,924
2,91,13,933
2,91,14,948
2,91,15,962
2,91,16,968
2,91,17,990
2,91,18,1001
2,91,19,1004
2,91,20,1023
2,91,21,1032
2,91,22,1044
2,91,23,1065
2,91,24,1067
2,91,25,1080
2,91,26,1100
2,91,27,1103
2,91,28,1116
2,91,29,1136
2,91,30,1139
2,91,31,1154
2,91,32,1172
2,91,33,1175
2,91,34,1197
2,91,35,1212
2,91,36,1215
2,91,37,1236
2,91,38,1245
2,91,39,1251
2,91,40,1269
2,91,41,1277
2,91,42,1287
2,91,43,1307
2,91,44,1314
2,91,45,1317
2,91,46,1347
2,91,47,1350
2,91,48,1361
2,91,49,1383
2,91,50,1386
2,91,51,1401
2,91,52,1416
2,91,53,1419
2,91,54,1440
2,91,55,1455
2,91,56,1455
2,91,57,1473
2,91,58,1488
2,91,59,1493
2,91,60,1511
2,91,61,1518
2,91,62,1529
2,91,63,1550
2,91,64,1544
2,91,65,1557
2,91,66,1575
2,91,67,1583
2,91,68,1593
2,91,69,1613
2,91,70,1616
2,91,71,1631
2,91,72,1646
